halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
,Mauna Kea,2453750.857,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,2.9,,-5.5,Iodine,Wright
,Mauna Kea,2453751.852,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,2.7,,-1.4,Iodine,Wright
,Mauna Kea,2453752.936,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,2.5,,-1.5,Iodine,Wright
,Mauna Kea,2453753.919,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 72659,,,,,2.2,,-2.1,Iodine,Wright
,McDonald Observatory,2453342.981,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11.7,,8.4,Iodine,Wright
,McDonald Observatory,2453346.898,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.5,,19.2,Iodine,Wright
,McDonald Observatory,2453348.898,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11.3,,17.7,Iodine,Wright
,McDonald Observatory,2453351.887,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.6,,20.4,Iodine,Wright
,McDonald Observatory,2453355.855,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.2,,21.5,Iodine,Wright
,McDonald Observatory,2453357.868,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,9.7,,15.6,Iodine,Wright
,McDonald Observatory,2453359.863,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,11.8,,12.3,Iodine,Wright
,McDonald Observatory,2453366.92,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,12.2,,1.9,Iodine,Wright
,McDonald Observatory,2453370.825,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.6,,3.3,Iodine,Wright
,McDonald Observatory,2453375.891,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,13.6,,35.3,Iodine,Wright
,McDonald Observatory,2453377.894,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.2,,11.8,Iodine,Wright
,McDonald Observatory,2453379.886,"Wittenmyer et al. 2009 (ApJS, 182, 97)",JD,,,HRS,HD 72659,,,,,10.7,,16.6,Iodine,Wright
