halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
0.000930911,La Silla Observatory,2457854.58,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.276110113,0.01864067,HARPS,HD72659,NaN,119.9983,83.7,-26.26395283,0.938,0.396030385,7.921,ThAr,Trifonov
0.001276373,La Silla Observatory,2458069.834,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.281785993,0.021570819,HARPS,HD72659,NaN,119.9982,62.7,28.18336351,1.5,0.396882337,0.28,ThAr,Trifonov
0.000988974,La Silla Observatory,2458160.737,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.278912261,0.019877083,HARPS,HD72659,NaN,119.9982,76.1,-5.189948359,1.366,0.39821038,-8.96,ThAr,Trifonov
0.001126098,La Silla Observatory,2458217.631,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Trifonov
0.001126098,La Silla Observatory,2500000.01,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Fake
0.001126098,La Silla Observatory,2500010.02,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Fake
0.001126098,La Silla Observatory,2500020.03,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Fake
0.001126098,La Silla Observatory,2500030.04,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Fake
0.001126098,La Silla Observatory,2500020.05,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.271136471,0.01668796,HARPS,HD72659,NaN,119.9983,66,-25.97786294,1.322,0.389613738,-7.572,ThAr,Fake
,Mauna Kea,2451552.106,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.5,,16.7,Iodine,Wright
,Mauna Kea,2451553.034,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.7,,18.6,Iodine,Wright
,Mauna Kea,2451581.979,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.5,,-20.8,Iodine,Wright
,Mauna Kea,2451582.969,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.2,,-18.6,Iodine,Wright
,Mauna Kea,2451583.942,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.3,,-12.1,Iodine,Wright
,Mauna Kea,2451584.992,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2,,-14.4,Iodine,Wright
,Mauna Kea,2451585.962,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.6,,-20.4,Iodine,Wright
,Mauna Kea,2451678.91,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.7,,-97.6,Iodine,Wright
,Mauna Kea,2451703.796,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.7,,-83.4,Iodine,Wright
,Mauna Kea,2451705.796,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.8,,-86.8,Iodine,Wright
,Mauna Kea,2451706.792,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.5,,-81.5,Iodine,Wright
,Mauna Kea,2451755.736,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,3.6,,91.7,Iodine,Wright
,Mauna Kea,2451883.151,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.8,,1.9,Iodine,Wright
,Mauna Kea,2451898.142,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.6,,-1.2,Iodine,Wright
,Mauna Kea,2451972.067,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,1.7,,-82.2,Iodine,Wright
,Mauna Kea,2451973.995,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.5,,-86.7,Iodine,Wright
,Mauna Kea,2451981.97,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.3,,-91.8,Iodine,Wright
,Mauna Kea,2452002.946,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,3,,-104,Iodine,Wright
,Mauna Kea,2452007.936,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.8,,-102.8,Iodine,Wright
,Mauna Kea,2452030.876,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,3,,-88.6,Iodine,Wright
,Mauna Kea,2452064.806,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.6,,23,Iodine,Wright
,Mauna Kea,2452307.971,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,3,,-89,Iodine,Wright
,Mauna Kea,2452601.143,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.7,,-60.4,Iodine,Wright
,Mauna Kea,2452682.996,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,3.1,,-90,Iodine,Wright
,Mauna Kea,2453017.166,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.8,,-71.4,Iodine,Wright
,Mauna Kea,2453369.143,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.5,,31.3,Iodine,Wright
,Mauna Kea,2453426.968,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,HIRES,HD 92788,,,,,2.7,,95,Iodine,Wright
,Lick Observatory,2450831.908,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,11,,97,Iodine,Wright
,Lick Observatory,2451242.887,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9,,1.7,Iodine,Wright
,Lick Observatory,2451298.758,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9.5,,-79.4,Iodine,Wright
,Lick Observatory,2451299.704,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.2,,-51.9,Iodine,Wright
,Lick Observatory,2451300.717,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,10,,-50,Iodine,Wright
,Lick Observatory,2451303.704,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.8,,-63.3,Iodine,Wright
,Lick Observatory,2451534.077,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.4,,45.5,Iodine,Wright
,Lick Observatory,2451535.09,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.7,,30.4,Iodine,Wright
,Lick Observatory,2451536.054,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.9,,33.9,Iodine,Wright
,Lick Observatory,2451536.965,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.2,,29.6,Iodine,Wright
,Lick Observatory,2451540.086,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.6,,31.8,Iodine,Wright
,Lick Observatory,2451541.005,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9,,31.1,Iodine,Wright
,Lick Observatory,2451593.853,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,16,,-40,Iodine,Wright
,Lick Observatory,2451627.772,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.5,,-69.1,Iodine,Wright
,Lick Observatory,2451628.738,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.3,,-66.5,Iodine,Wright
,Lick Observatory,2451629.856,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.4,,-70.8,Iodine,Wright
,Lick Observatory,2451656.729,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,12,,-77,Iodine,Wright
,Lick Observatory,2451677.722,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.5,,-81.8,Iodine,Wright
,Lick Observatory,2451678.771,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.6,,-101.3,Iodine,Wright
,Lick Observatory,2451860.071,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.7,,39.7,Iodine,Wright
,Lick Observatory,2451861.06,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.6,,30.1,Iodine,Wright
,Lick Observatory,2451914.048,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,5.6,,-27.6,Iodine,Wright
,Lick Observatory,2451915.033,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,5.2,,-15.9,Iodine,Wright
,Lick Observatory,2451928.025,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,5,,-47.8,Iodine,Wright
,Lick Observatory,2451946.001,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.5,,-66.6,Iodine,Wright
,Lick Observatory,2451946.938,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,11,,-79,Iodine,Wright
,Lick Observatory,2452033.759,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.8,,-99.3,Iodine,Wright
,Lick Observatory,2452040.742,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,4.5,,-64.9,Iodine,Wright
,Lick Observatory,2452075.716,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.6,,65.1,Iodine,Wright
,Lick Observatory,2452333.944,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.8,,-89.9,Iodine,Wright
,Lick Observatory,2452334.838,"Butler et al. 2003 (ApJ, 582, 455)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,11,,-111,Iodine,Wright
,Mauna Kea,2451552.106,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,4.03,,34.62,Iodine,Wright
,Mauna Kea,2451553.034,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,3.86,,34.56,Iodine,Wright
,Mauna Kea,2451581.979,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,3.55,,-4.51,Iodine,Wright
,Mauna Kea,2451582.969,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,3.32,,0,Iodine,Wright
,Mauna Kea,2451583.942,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,3.23,,2.88,Iodine,Wright
,Mauna Kea,2451584.991,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,2.55,,-1.95,Iodine,Wright
,Mauna Kea,2451585.962,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,3.5,,-1.89,Iodine,Wright
,Mauna Kea,2451678.91,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,5.17,,-79.45,Iodine,Wright
,Mauna Kea,2451703.796,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,4.92,,-70.21,Iodine,Wright
,Mauna Kea,2451705.795,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,4.94,,-66.89,Iodine,Wright
,Mauna Kea,2451706.792,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,4.92,,-66.76,Iodine,Wright
,Mauna Kea,2451755.737,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,HIRES,HD 92788,,,,,6.88,,88.15,Iodine,Wright
,Lick Observatory,2450831.908,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,10.96,,105.76,Iodine,Wright
,Lick Observatory,2451242.887,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.8,,14.15,Iodine,Wright
,Lick Observatory,2451298.758,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9.03,,-64.34,Iodine,Wright
,Lick Observatory,2451299.704,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.4,,-39.89,Iodine,Wright
,Lick Observatory,2451300.717,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9.82,,-36.1,Iodine,Wright
,Lick Observatory,2451303.704,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.4,,-50.4,Iodine,Wright
,Lick Observatory,2451534.077,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.04,,56.29,Iodine,Wright
,Lick Observatory,2451535.09,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9.27,,39.88,Iodine,Wright
,Lick Observatory,2451536.054,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.92,,45.72,Iodine,Wright
,Lick Observatory,2451536.965,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,6.65,,41.62,Iodine,Wright
,Lick Observatory,2451540.086,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.78,,38.75,Iodine,Wright
,Lick Observatory,2451541.005,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,8.73,,39.43,Iodine,Wright
,Lick Observatory,2451627.772,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,9.3,,-53.83,Iodine,Wright
,Lick Observatory,2451628.738,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.26,,-49.67,Iodine,Wright
,Lick Observatory,2451629.855,"Fischer et al. 2001 (ApJ, 551, 1107)",JD,,,Hamilton echelle spectrograph,HD 92788,,,,,7.41,,-61.57,Iodine,Wright
,ESO La Silla,2451261.681,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,10,,-4497,Thorium Argon,Wright
,ESO La Silla,2451271.641,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4506,Thorium Argon,Wright
,ESO La Silla,2451271.653,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4498,Thorium Argon,Wright
,ESO La Silla,2451302.577,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4529,Thorium Argon,Wright
,ESO La Silla,2451305.611,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4532,Thorium Argon,Wright
,ESO La Silla,2451335.478,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,7,,-4574,Thorium Argon,Wright
,ESO La Silla,2451335.492,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,7,,-4565,Thorium Argon,Wright
,ESO La Silla,2451481.867,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,7,,-4349,Thorium Argon,Wright
,ESO La Silla,2451499.857,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,7,,-4361,Thorium Argon,Wright
,ESO La Silla,2451548.765,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4447,Thorium Argon,Wright
,ESO La Silla,2451549.823,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4449,Thorium Argon,Wright
,ESO La Silla,2451569.834,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4465,Thorium Argon,Wright
,ESO La Silla,2451588.767,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4484,Thorium Argon,Wright
,ESO La Silla,2451612.753,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4516,Thorium Argon,Wright
,ESO La Silla,2451615.749,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4512,Thorium Argon,Wright
,ESO La Silla,2451616.717,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4512,Thorium Argon,Wright
,ESO La Silla,2451619.643,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4507,Thorium Argon,Wright
,ESO La Silla,2451620.645,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4515,Thorium Argon,Wright
,ESO La Silla,2451621.651,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4526,Thorium Argon,Wright
,ESO La Silla,2451622.673,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4520,Thorium Argon,Wright
,ESO La Silla,2451623.721,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4521,Thorium Argon,Wright
,ESO La Silla,2451624.682,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4523,Thorium Argon,Wright
,ESO La Silla,2451625.626,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4535,Thorium Argon,Wright
,ESO La Silla,2451626.658,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4535,Thorium Argon,Wright
,ESO La Silla,2451627.627,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4522,Thorium Argon,Wright
,ESO La Silla,2451628.616,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4538,Thorium Argon,Wright
,ESO La Silla,2451629.627,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4535,Thorium Argon,Wright
,ESO La Silla,2451630.606,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4531,Thorium Argon,Wright
,ESO La Silla,2451631.593,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4520,Thorium Argon,Wright
,ESO La Silla,2451632.594,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4537,Thorium Argon,Wright
,ESO La Silla,2451633.649,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4538,Thorium Argon,Wright
,ESO La Silla,2451640.676,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4542,Thorium Argon,Wright
,ESO La Silla,2451642.613,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4542,Thorium Argon,Wright
,ESO La Silla,2451646.69,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4553,Thorium Argon,Wright
,ESO La Silla,2451665.517,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,6,,-4548,Thorium Argon,Wright
,ESO La Silla,2451687.546,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4561,Thorium Argon,Wright
,ESO La Silla,2451689.616,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,12,,-4558,Thorium Argon,Wright
,ESO La Silla,2451702.525,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,9,,-4580,Thorium Argon,Wright
,ESO La Silla,2451750.464,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,10,,-4373,Thorium Argon,Wright
,ESO La Silla,2451955.736,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4526,Thorium Argon,Wright
,ESO La Silla,2451963.746,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4529,Thorium Argon,Wright
,ESO La Silla,2451967.756,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4535,Thorium Argon,Wright
,ESO La Silla,2451970.77,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4541,Thorium Argon,Wright
,ESO La Silla,2451975.705,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4534,Thorium Argon,Wright
,ESO La Silla,2451987.72,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4555,Thorium Argon,Wright
,ESO La Silla,2451995.747,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4573,Thorium Argon,Wright
,ESO La Silla,2452050.513,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,11,,-4506,Thorium Argon,Wright
,ESO La Silla,2452052.527,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4507,Thorium Argon,Wright
,ESO La Silla,2452072.471,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4414,Thorium Argon,Wright
,ESO La Silla,2452087.502,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,5,,-4376,Thorium Argon,Wright
,ESO La Silla,2452306.886,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4552,Thorium Argon,Wright
,ESO La Silla,2452320.733,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4558,Thorium Argon,Wright
,ESO La Silla,2452373.646,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4513,Thorium Argon,Wright
,ESO La Silla,2452462.472,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,3,,-4386,Thorium Argon,Wright
,ESO La Silla,2452712.628,"Mayor et al. 2004 (A&A, 415, 391)",BJD,,,CORALIE,HD 92788,,,,,4,,-4457,Thorium Argon,Wright
0.000885487,La Silla Observatory,2453163.448,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.25107005,-0.026735397,HARPS,HD92788,NaN,100.0009,84.1,-28.92114314,1.188,0.427134197,3.164,ThAr,Trifonov
0.000907259,La Silla Observatory,2453163.45,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.247288883,-0.027947796,HARPS,HD92788,NaN,99.9967,82.2,-28.92497419,1.203,0.426788433,0.575,ThAr,Trifonov
0.000970601,La Silla Observatory,2453163.451,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.245946155,-0.02695412,HARPS,HD92788,NaN,99.9951,78.3,-28.92873328,1.217,0.426499385,-3.443,ThAr,Trifonov
0.000942201,La Silla Observatory,2453163.454,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.247031817,-0.028193518,HARPS,HD92788,NaN,100.0007,80.2,-28.93470103,1.205,0.42597146,-0.852,ThAr,Trifonov
0.000980286,La Silla Observatory,2453163.455,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.249572323,-0.026729369,HARPS,HD92788,NaN,100.0026,77.6,-28.93860146,1.223,0.424552991,3.384,ThAr,Trifonov
0.001043819,La Silla Observatory,2453163.457,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.239722203,-0.024493894,HARPS,HD92788,NaN,100.0017,73.4,-28.94238003,1.254,0.42604986,-0.894,ThAr,Trifonov
0.000938709,La Silla Observatory,2453163.458,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248286494,-0.025684846,HARPS,HD92788,NaN,99.9998,79.5,-28.94597096,1.228,0.427934803,1.5,ThAr,Trifonov
0.001000283,La Silla Observatory,2453163.46,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.249543818,-0.026091367,HARPS,HD92788,NaN,100.0015,75.8,-28.94974962,1.24,0.424949578,1.879,ThAr,Trifonov
0.000846469,La Silla Observatory,2453163.471,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.247742683,-0.027101533,HARPS,HD92788,NaN,100.0021,88.1,-28.97686963,1.162,0.426375469,2.47,ThAr,Trifonov
0.000952464,La Silla Observatory,2453163.472,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.245051577,-0.026355953,HARPS,HD92788,NaN,100.0004,79.6,-28.98054695,1.211,0.425948676,0.551,ThAr,Trifonov
0.00092013,La Silla Observatory,2453163.474,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.252572213,-0.027698267,HARPS,HD92788,NaN,100.0026,80.3,-28.98432294,1.227,0.426236782,2.412,ThAr,Trifonov
0.000894066,La Silla Observatory,2453163.475,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248934088,-0.026138477,HARPS,HD92788,NaN,100.0005,84.2,-28.98798159,1.178,0.424476651,-1.015,ThAr,Trifonov
