Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2458018.68,30.979,2.263,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.422045556,0.003083314,7.072101773,-0.00308195,28.5,1799.9983,,-19.75441415
2458019.671,18.744,1.654,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.420701002,0.002233044,7.087100997,0.00020921,37.8,1799.9982,,-20.12476145
2458020.583,12.972,2.563,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.431039133,0.003659202,7.123335381,-0.001508697,24.8,1799.9982,,-20.27174811
2458021.615,-28.207,2.629,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.423968512,0.003803469,7.072333599,0.041811137,23.9,1799.9983,,-20.7439304
2458022.644,-46.686,2.98,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433619952,0.004389177,7.109429798,0.006163977,21.1,1799.9983,,-21.19731959
2458023.683,-16.451,1.723,La Silla Observatory,TYC6360-482-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.417389605,0.002198192,7.065994125,0.006055618,37.4,1799.9982,,-21.65983634
