Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452939.745,0.683,0.889,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438109602,0.000484862,6.421454257,-0.03426607,153.2,899.9961,,3.58035026
2453001.568,0.747,0.939,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433883724,0.000525286,6.418214473,-0.034952297,139.2,769.996,,-22.80118345
2453946.934,-1.988,1.183,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437555425,0.000712882,6.429588297,-0.037714861,105.7,875.5002,,27.22126539
2454048.744,0.469,0.866,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438364806,0.000478612,6.425719648,-0.037446719,158.3,875.5,,-2.872922078
2454050.724,-2.142,0.785,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.439550947,0.000555929,6.419113485,-0.034578076,137.2,875.5007,,-3.788545064
2454052.724,-1.465,0.698,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437834343,0.000454741,6.424963642,-0.03561366,165.7,875.5007,,-4.764213207
2455064.92,2.066,1.0,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433579349,0.000459486,6.432038142,-0.03795884,167.3,899.999,,26.03119922
2455070.844,-1.463,1.007,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433614988,0.000463289,6.429512909,-0.035480867,164.7,900.0001,,25.24964424
2455075.806,-1.189,0.872,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434490601,0.000635751,6.435923575,-0.034757884,120.3,876.9011,,24.33333824
2455815.865,-2.466,0.878,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437199202,0.000579326,6.4384178,-0.037587242,135.1,899.9997,,21.78323174
2455816.832,-4.061,0.854,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.43501152,0.000479792,6.441246224,-0.035914079,162.5,899.9989,,21.58941293
2455817.85,-3.266,0.763,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.439699673,0.000555113,6.431826047,-0.040249698,142.3,900.0008,,21.24633384
2455828.842,0.839,0.828,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.439423456,0.000589941,6.431840155,-0.035948431,132.4,900.0058,,17.64263097
2455874.678,2.04,0.893,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434894921,0.000617827,6.438658145,-0.03730223,126.5,900.0051,,-2.546147127
2455880.687,0.639,0.964,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436435154,0.00036768,6.440098358,-0.034248959,209.7,899.9998,,-5.48449182
2455891.645,1.13,1.064,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432271443,0.000556608,6.442437808,-0.035447606,139.4,899.9999,,-10.58321325
2455898.666,1.792,0.77,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436403909,0.000487959,6.441482332,-0.035607067,160.5,900.0051,,-13.78860437
2455902.703,1.131,0.672,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436602978,0.000429452,6.439839529,-0.034318344,180.2,900.0053,,-15.58861065
2456249.625,4.687,1.132,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435023332,0.000626294,6.448495467,-0.037002053,122.6,900.0071,,-7.115071573
2456253.675,6.686,1.013,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438719641,0.000466384,6.452503622,-0.03503277,167.0,900.0005,,-9.158947844
2456320.57,-0.187,0.752,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437404949,0.000469585,6.442972914,-0.036141594,164.4,900.0008,,-28.17897294
2456326.557,0.051,1.074,La Silla Observatory,GJ9109,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436826075,0.000609889,6.449469496,-0.037604635,125.3,900.0009,,-28.22372142
