Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2456885.65,3.525,2.531,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389727725,0.00265864,7.046945561,0.009430191,31.2,600.0012,,-11.3063304
2456885.658,14.23,2.391,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.383229013,0.002507279,7.040857434,0.00412213,32.7,600.0008,,-11.32646605
2456885.665,8.606,2.445,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.393761162,0.002650186,7.06399109,0.01046029,31.8,600.0012,,-11.34636604
2456886.607,-1.154,2.138,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389047446,0.002155179,7.048900879,0.009429883,37.0,600.0015,,-11.65312993
2456886.614,14.783,2.341,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.393236404,0.002351898,7.04091293,0.021708201,34.3,600.0012,,-11.67245421
2456886.622,-4.247,2.22,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389373225,0.002221315,7.051726168,0.018155067,36.1,600.0013,,-11.69291621
2456887.627,-15.045,3.261,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.386236243,0.003322869,7.042711615,0.009416171,25.3,600.0014,,-12.16860981
2456887.634,-19.601,3.213,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388655118,0.003274892,7.057896584,0.043399636,25.7,600.0013,,-12.18772577
2456887.641,9.643,3.198,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.381054217,0.003240185,7.028379945,-0.000557171,25.7,600.0007,,-12.20804408
2456888.55,2.067,2.8,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.398634054,0.003201737,7.064439186,0.001930552,27.4,600.0011,,-12.43007458
2456888.558,-15.317,2.866,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.398391516,0.002949655,7.076141445,0.009197012,28.4,600.0011,,-12.44860396
2456888.565,-16.644,2.821,La Silla Observatory,TYC6914-1673-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.394275661,0.00281993,7.050675475,0.032701206,29.2,600.0012,,-12.46618568
