Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451552.106,16.7,2.5,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451553.034,18.6,2.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451581.979,-20.8,2.5,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451582.969,-18.6,2.2,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451583.942,-12.1,2.3,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451584.992,-14.4,2,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451585.962,-20.4,2.6,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451678.91,-97.6,2.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451703.796,-83.4,2.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451705.796,-86.8,2.8,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451706.792,-81.5,2.5,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451755.736,91.7,3.6,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451883.151,1.9,2.8,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451898.142,-1.2,2.6,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451972.067,-82.2,1.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451973.995,-86.7,2.5,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451981.97,-91.8,2.3,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452002.946,-104,3,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452007.936,-102.8,2.8,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452030.876,-88.6,3,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452064.806,23,2.6,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452307.971,-89,3,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452601.143,-60.4,2.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452682.996,-90,3.1,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453017.166,-71.4,2.8,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453369.143,31.3,2.5,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453426.968,95,2.7,"Mauna Kea, Hawaii",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450831.908,97,11,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451242.887,1.7,9,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451298.758,-79.4,9.5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451299.704,-51.9,8.2,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451300.717,-50,10,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451303.704,-63.3,7.8,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451534.077,45.5,8.4,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451535.09,30.4,8.7,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451536.054,33.9,6.9,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451536.965,29.6,6.2,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451540.086,31.8,8.6,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451541.005,31.1,9,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451593.853,-40,16,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451627.772,-69.1,8.5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451628.738,-66.5,7.3,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451629.856,-70.8,7.4,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451656.729,-77,12,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451677.722,-81.8,7.5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451678.771,-101.3,6.6,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451860.071,39.7,8.7,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861.06,30.1,6.6,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451914.048,-27.6,5.6,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451915.033,-15.9,5.2,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451928.025,-47.8,5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451946.001,-66.6,6.5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451946.938,-79,11,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452033.759,-99.3,8.8,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452040.742,-64.9,4.5,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452075.716,65.1,8.6,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452333.944,-89.9,6.8,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452334.838,-111,11,"Lick Observatory, California",HD 92788,JD,"Butler et al. 2006 (ApJ, 646, 505)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451552.106,34.62,4.03,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451553.034,34.56,3.86,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451581.979,-4.51,3.55,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451582.969,0,3.32,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451583.942,2.88,3.23,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451584.991,-1.95,2.55,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451585.962,-1.89,3.5,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451678.91,-79.45,5.17,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451703.796,-70.21,4.92,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451705.795,-66.89,4.94,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451706.792,-66.76,4.92,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451755.737,88.15,6.88,"Mauna Kea, Hawaii",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",HIRES,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450831.908,105.76,10.96,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451242.887,14.15,8.8,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451298.758,-64.34,9.03,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451299.704,-39.89,8.4,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451300.717,-36.1,9.82,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451303.704,-50.4,7.4,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451534.077,56.29,8.04,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451535.09,39.88,9.27,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451536.054,45.72,6.92,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451536.965,41.62,6.65,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451540.086,38.75,8.78,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451541.005,39.43,8.73,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451627.772,-53.83,9.3,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451628.738,-49.67,7.26,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451629.855,-61.57,7.41,"Lick Observatory, California",HD 92788,JD,"Fischer et al. 2001 (ApJ, 551, 1107)",Hamilton echelle spectrograph,Iodine,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451261.681,-4497,10,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451271.641,-4506,5,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451271.653,-4498,5,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451302.577,-4529,5,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451305.611,-4532,5,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451335.478,-4574,7,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451335.492,-4565,7,"ESO La Silla, Chile",HD 92788,BJD,"Mayor et al. 2004 (A&A, 415, 391)",CORALIE,Thorium Argon,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
