Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453666.697,2947.226,10.044,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.537572251,0.000376953,5.399925769,-180.3516649,274.2,61.5353,,3.576687263
2453666.699,3252.108,6.347,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.538899133,0.000394259,5.19873294,1.472354255,263.4,61.5365,,3.573550098
2453687.649,1598.529,5.085,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.539767132,0.000366654,304.1071388,0.0,285.6,61.5352,,-7.235903259
2453687.65,1430.141,5.338,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540480866,0.000381171,18.13473492,0.0,275.5,61.534,,-7.239111644
2453687.654,1530.726,5.294,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540074675,0.00038138,347.1747791,0.0,274.1,61.5376,,-7.251584434
2453687.655,1850.125,5.57,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.539531833,0.000375468,341.3140422,0.0,279.8,61.5365,,-7.254854342
2453718.524,-1365.113,7.1,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540804393,0.000475761,20.27283313,0.0,220.0,59.9999,,-21.10550903
2453718.537,-1718.657,6.94,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.541164799,0.000442726,227.8843493,0.0,235.1,60.0011,,-21.14021925
2453718.541,-1356.39,7.045,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.541124163,0.000469843,52.44870657,22.27687875,222.0,59.9995,,-21.15375956
2453719.539,-1779.962,5.901,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.542015446,0.000395595,47.81030206,324.5891227,262.0,60.0022,,-21.52197228
2453719.544,-1817.545,6.197,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.54272255,0.000448972,13.00732995,0.0,233.7,60.0018,,-21.53820448
2453719.55,-1619.676,6.199,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.541683164,0.000431692,93.95936295,0.0,243.4,60.0012,,-21.55328888
2453720.534,-1580.019,4.917,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540852901,0.000344906,18.42761181,0.0,303.7,59.9996,,-21.87945722
2453720.535,-1582.845,4.86,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540497186,0.000344716,13.75391541,-3.650275196,303.6,59.9988,,-21.88249923
2453720.541,-1599.11,4.737,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.542039238,0.000350068,14.35764001,265.9493572,300.6,60.0022,,-21.89726548
2453720.544,-1603.348,4.801,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.54221325,0.000350399,15.3651817,25.92233338,301.0,60.0018,,-21.90762789
2453731.536,-2397.095,5.86,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540863291,0.000360776,9.80680336,-0.753176038,290.6,61.5356,,-25.51911002
2453731.538,-2867.712,6.254,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.541039976,0.000363041,237.8526641,0.0,288.4,61.537,,-25.52213738
2453934.901,-2508.154,36.47,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.538348836,0.000457623,303.7565711,0.0,228.8,61.534,,28.73137217
2453934.902,-2158.196,37.573,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.536418105,0.000459788,733.7577015,0.0,227.2,61.5349,,28.72888292
2454075.628,-2626.833,7.843,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.540700525,0.000515544,4.258795114,1499.885323,204.8,61.5355,,-18.04823446
2454075.629,-2880.625,8.268,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.541108876,0.000506481,6.462937885,-8.80115594,205.0,61.5355,,-18.05129164
2454098.552,-4192.785,8.817,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.542270288,0.000543887,500.471132,0.0,191.1,61.5339,,-26.06007498
2454098.553,-3977.201,7.778,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.542938135,0.000495123,8.070669011,0.0,211.7,61.5348,,-26.06312761
2454339.908,5393.051,8.588,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.537131802,0.00048324,142.0098967,0.0,219.0,61.5318,,26.03683304
2454339.909,3072.603,36.466,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.536674083,0.000484029,91.02103193,0.0,215.6,61.532,,26.03389734
2454340.914,2477.53,31.782,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.537537034,0.000363589,14.21785723,0.0,290.9,61.5309,,25.78885523
2454340.916,3068.616,33.247,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.537523987,0.000367785,1.445151433,0.0,287.8,61.5311,,25.785971
2454384.691,4607.923,9.919,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.538780624,0.000600927,98.31246989,-0.301798869,175.6,61.5336,,9.881936536
2454384.692,5183.499,10.149,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.539580728,0.000601011,14.92478429,11.92968641,175.1,61.5329,,9.87890419
2454384.693,4016.371,11.442,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.54036295,0.000679806,6.272151475,150.4676766,154.3,61.5326,,9.875628922
2454384.695,4957.313,11.233,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.539928018,0.000694036,36.67174377,-15.62521776,151.9,61.531,,9.870438167
2454430.541,2695.275,7.735,La Silla Observatory,HD15318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.54099382,0.000491936,27.96590513,-9960396.603,212.5,61.5356,,-13.13413409
