Time,RV,Uncertainty,Observatory_Name,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455576.708,238.582,2.339,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.4854945,0.004711098,9.777556041,-0.053548878,21.5,2700.0058,,-11.08521261
2455578.683,-73.507,2.669,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.453470752,0.004887553,9.789156198,-0.024120898,19.3,2700.0062,,-11.95209528
2455591.554,-49.002,2.286,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.473716642,0.00455816,9.789269134,0.045471338,21.8,2699.9996,,-17.29602078
2455591.585,158.7,2.188,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.472949101,0.004159532,9.741329092,0.140123729,22.8,2699.9996,,-17.38620507
2455593.674,188.425,2.984,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.486943715,0.005586532,9.741780014,-0.028624738,18.2,3600.0012,,-18.45007409
2455617.522,-387.135,3.357,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.478379036,0.006514708,9.742998293,0.026713152,16.2,2700.0056,,-25.6294094
2455617.552,-89.773,4.187,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.469474696,0.006677272,9.701840755,0.11661054,15.6,2700.007,,-25.71435122
2455619.574,-226.071,2.968,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.46694074,0.0057538,9.804488456,0.03541509,17.9,2700.0063,,-26.21844484
2455619.606,-117.019,2.988,La Silla Observatory,CoRoT604178318,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.469812208,0.005899353,9.880287486,0.053360742,17.8,2700.0053,,-26.2982474
