Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2452944.597,12595.023,3.174,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.751104858,0.0026742,13.0205075,0.0,32.9,899.9958,,-18.0095638
2453295.579,-30200.207,2.123,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.721276248,0.001983525,3.745003635,-0.024802691,43.1,900.0008,,-18.08125878
2454687.778,-30208.629,3.532,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.715452038,0.003077027,3.722711037,-0.008604512,28.9,900.0,,-5.467035174
2455018.825,-30196.322,2.789,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.731552581,0.002541841,3.74876814,-0.038812836,35.6,899.9996,,4.733364443
2455091.735,-30206.235,3.165,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.723363533,0.002850763,3.732322017,-0.013471696,31.5,899.9992,,-14.88473111
2455091.746,-30193.5,2.824,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.722299356,0.002566763,3.726148093,-0.041509193,34.7,899.9995,,-14.89396989
2455355.849,-30208.617,3.133,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.724638166,0.002890329,3.728224162,-0.022278295,31.5,900.0075,,12.15007603
2455388.796,-30198.703,1.921,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.716864961,0.0017967,3.678608131,-0.021857902,48.3,900.0005,,3.377341358
2455413.798,-30234.433,8.445,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.679834941,0.018582811,3.609629381,0.024792641,4.9,900.0004,,-4.146283935
2455425.595,-30188.385,3.297,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.732866534,0.002903263,3.704907358,-0.037504233,31.0,900.0006,,-7.392329922
2455429.72,-30200.885,2.534,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.743727471,0.002350373,3.730993631,-0.032090142,39.1,900.0005,,-8.617784581
2455433.73,-30208.476,2.692,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.731333569,0.002425669,3.727126166,0.005206079,37.1,900.0006,,-9.682557067
2455434.681,-30209.608,2.164,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.732426782,0.002041481,3.717460966,-0.023501072,44.1,900.0005,,-9.88518232
2455439.753,-30198.507,2.217,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.718310011,0.002117813,3.717282424,-0.038980219,42.1,900.0004,,-11.21461937
2455446.674,-30201.436,2.801,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.720599421,0.002467858,3.716058211,0.003009493,36.0,900.0006,,-12.76224979
2455456.63,-30197.925,2.428,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.74158163,0.002250349,3.736493617,-0.046712086,40.3,900.0007,,-14.72604382
2455465.593,-30205.594,4.257,"La Silla Observatory, Chile",HIP108930,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.725686949,0.003870629,3.737642733,-0.017058256,23.5,900.0005,,-16.14164618
