Instrument
2dCS
AFOE
Alfred Jensch coude spectrograph
BOES
CES
CFHT coude spectrograph
CORALIE
CORAVEL
CRIRES
CYCLOPS
Cambridge spectrograph
CfA Digital Speedometer (CfADS)
DAO spectrograph
ELODIE
ET (BK5)
FEROS
FIES
FLAMES
FLWO
FOCES
Fick spectometer
Goldcam
HARPS
HARPS-N
HDS
HIDES
HIRES
HJS coude spectrograph
HRS
HSD
Hamilton
Kitt Peak coude spectrograph
Lick Photographic
MARVELS
MIKE
McDonald coude spectrograph
SANDIFORD
SARG
SOPHIE
TLS
TRES
Tull
UCLES
UVES
